check_id,优先主题,文档名称,文档类型,颗粒度,sku_id,品牌,类目,区域,真实来源,owner,格式,关键字段,风险级别,状态,刷新频率,上线边界,source_type
CHK0011,电压/频率/插头兼容,Jura_JURA-Caps-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-JURA-Caps-UK,Jura,全自动/半自动咖啡机,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0012,安装条件,Jura_JURA-Caps-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-JURA-Caps-UK,Jura,全自动/半自动咖啡机,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0013,电压/频率/插头兼容,Smeg_SMEG-Air-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-SMEG-Air-US,Smeg,台式烤箱/空气炸烤箱,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0014,安装条件,Smeg_SMEG-Air-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-SMEG-Air-US,Smeg,台式烤箱/空气炸烤箱,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0015,电压/频率/插头兼容,Smeg_SMEG-Steam-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-SMEG-Steam-EU,Smeg,台式烤箱/空气炸烤箱,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0016,安装条件,Smeg_SMEG-Steam-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-SMEG-Steam-EU,Smeg,台式烤箱/空气炸烤箱,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0017,电压/频率/插头兼容,Smeg_SMEG-Toast-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-SMEG-Toast-UK,Smeg,台式烤箱/空气炸烤箱,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0018,安装条件,Smeg_SMEG-Toast-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-SMEG-Toast-UK,Smeg,台式烤箱/空气炸烤箱,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0019,电压/频率/插头兼容,Breville_BREV-Air-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-BREV-Air-US,Breville,台式烤箱/空气炸烤箱,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0020,安装条件,Breville_BREV-Air-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-BREV-Air-US,Breville,台式烤箱/空气炸烤箱,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0021,电压/频率/插头兼容,Breville_BREV-Steam-UK-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-BREV-Steam-UK,Breville,台式烤箱/空气炸烤箱,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0022,安装条件,Breville_BREV-Steam-UK-2028_安装条件卡,SKU安装条件卡,SKU,SKU-BREV-Steam-UK,Breville,台式烤箱/空气炸烤箱,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0023,电压/频率/插头兼容,Breville_BREV-Toast-AU-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-BREV-Toast-AU,Breville,台式烤箱/空气炸烤箱,AU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0024,安装条件,Breville_BREV-Toast-AU-2029_安装条件卡,SKU安装条件卡,SKU,SKU-BREV-Toast-AU,Breville,台式烤箱/空气炸烤箱,AU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0025,电压/频率/插头兼容,Bosch_BOSC-DW60-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-BOSC-DW60-US,Bosch,洗碗机,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0026,安装条件,Bosch_BOSC-DW60-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-BOSC-DW60-US,Bosch,洗碗机,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0027,电压/频率/插头兼容,Bosch_BOSC-DW45-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-BOSC-DW45-EU,Bosch,洗碗机,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0028,安装条件,Bosch_BOSC-DW45-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-BOSC-DW45-EU,Bosch,洗碗机,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0029,电压/频率/插头兼容,Bosch_BOSC-DFS-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-BOSC-DFS-UK,Bosch,洗碗机,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0030,安装条件,Bosch_BOSC-DFS-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-BOSC-DFS-UK,Bosch,洗碗机,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0031,电压/频率/插头兼容,Miele_MIEL-DW60-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-MIEL-DW60-US,Miele,洗碗机,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0032,安装条件,Miele_MIEL-DW60-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-MIEL-DW60-US,Miele,洗碗机,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0033,电压/频率/插头兼容,Miele_MIEL-DW45-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-MIEL-DW45-EU,Miele,洗碗机,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0034,安装条件,Miele_MIEL-DW45-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-MIEL-DW45-EU,Miele,洗碗机,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0035,电压/频率/插头兼容,Miele_MIEL-DFS-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-MIEL-DFS-UK,Miele,洗碗机,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0036,安装条件,Miele_MIEL-DFS-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-MIEL-DFS-UK,Miele,洗碗机,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0037,电压/频率/插头兼容,Liebherr_LIEB-BFR-EU-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-LIEB-BFR-EU,Liebherr,冰箱/酒柜,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0038,安装条件,Liebherr_LIEB-BFR-EU-2027_安装条件卡,SKU安装条件卡,SKU,SKU-LIEB-BFR-EU,Liebherr,冰箱/酒柜,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0039,电压/频率/插头兼容,Liebherr_LIEB-FDR-UK-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-LIEB-FDR-UK,Liebherr,冰箱/酒柜,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0040,安装条件,Liebherr_LIEB-FDR-UK-2028_安装条件卡,SKU安装条件卡,SKU,SKU-LIEB-FDR-UK,Liebherr,冰箱/酒柜,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0041,电压/频率/插头兼容,Liebherr_LIEB-WCN-EU-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-LIEB-WCN-EU,Liebherr,冰箱/酒柜,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0042,安装条件,Liebherr_LIEB-WCN-EU-2029_安装条件卡,SKU安装条件卡,SKU,SKU-LIEB-WCN-EU,Liebherr,冰箱/酒柜,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0043,电压/频率/插头兼容,Fisher & Paykel_FISH-BFR-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-FISH-BFR-US,Fisher & Paykel,冰箱/酒柜,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0044,安装条件,Fisher & Paykel_FISH-BFR-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-FISH-BFR-US,Fisher & Paykel,冰箱/酒柜,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0045,电压/频率/插头兼容,Fisher & Paykel_FISH-FDR-UK-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-FISH-FDR-UK,Fisher & Paykel,冰箱/酒柜,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0046,安装条件,Fisher & Paykel_FISH-FDR-UK-2028_安装条件卡,SKU安装条件卡,SKU,SKU-FISH-FDR-UK,Fisher & Paykel,冰箱/酒柜,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0047,电压/频率/插头兼容,Fisher & Paykel_FISH-WCN-AU-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-FISH-WCN-AU,Fisher & Paykel,冰箱/酒柜,AU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0048,安装条件,Fisher & Paykel_FISH-WCN-AU-2029_安装条件卡,SKU安装条件卡,SKU,SKU-FISH-WCN-AU,Fisher & Paykel,冰箱/酒柜,AU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0049,电压/频率/插头兼容,AEG_AEG-WFL-EU-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-AEG-WFL-EU,AEG,洗衣机/烘干机,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0050,安装条件,AEG_AEG-WFL-EU-2027_安装条件卡,SKU安装条件卡,SKU,SKU-AEG-WFL-EU,AEG,洗衣机/烘干机,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0051,电压/频率/插头兼容,AEG_AEG-HPD-UK-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-AEG-HPD-UK,AEG,洗衣机/烘干机,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0052,安装条件,AEG_AEG-HPD-UK-2028_安装条件卡,SKU安装条件卡,SKU,SKU-AEG-HPD-UK,AEG,洗衣机/烘干机,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0053,电压/频率/插头兼容,AEG_AEG-WDC-EU-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-AEG-WDC-EU,AEG,洗衣机/烘干机,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0054,安装条件,AEG_AEG-WDC-EU-2029_安装条件卡,SKU安装条件卡,SKU,SKU-AEG-WDC-EU,AEG,洗衣机/烘干机,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0055,电压/频率/插头兼容,Electrolux_ELEC-WFL-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-ELEC-WFL-US,Electrolux,洗衣机/烘干机,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0056,安装条件,Electrolux_ELEC-WFL-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-ELEC-WFL-US,Electrolux,洗衣机/烘干机,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0057,电压/频率/插头兼容,Electrolux_ELEC-HPD-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-ELEC-HPD-EU,Electrolux,洗衣机/烘干机,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0058,安装条件,Electrolux_ELEC-HPD-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-ELEC-HPD-EU,Electrolux,洗衣机/烘干机,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0059,电压/频率/插头兼容,Electrolux_ELEC-WDC-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-ELEC-WDC-UK,Electrolux,洗衣机/烘干机,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0060,安装条件,Electrolux_ELEC-WDC-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-ELEC-WDC-UK,Electrolux,洗衣机/烘干机,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",极高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0061,电压/频率/插头兼容,Dyson_DYSO-RVC-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-DYSO-RVC-US,Dyson,地面清洁设备,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0062,安装条件,Dyson_DYSO-RVC-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-DYSO-RVC-US,Dyson,地面清洁设备,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0063,电压/频率/插头兼容,Dyson_DYSO-CDV-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-DYSO-CDV-EU,Dyson,地面清洁设备,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0064,安装条件,Dyson_DYSO-CDV-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-DYSO-CDV-EU,Dyson,地面清洁设备,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0065,电压/频率/插头兼容,Dyson_DYSO-WFW-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-DYSO-WFW-UK,Dyson,地面清洁设备,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0066,安装条件,Dyson_DYSO-WFW-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-DYSO-WFW-UK,Dyson,地面清洁设备,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0067,电压/频率/插头兼容,iRobot_IROB-RVC-US-2027_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-IROB-RVC-US,iRobot,地面清洁设备,US,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0068,安装条件,iRobot_IROB-RVC-US-2027_安装条件卡,SKU安装条件卡,SKU,SKU-IROB-RVC-US,iRobot,地面清洁设备,US,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0069,电压/频率/插头兼容,iRobot_IROB-CDV-EU-2028_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-IROB-CDV-EU,iRobot,地面清洁设备,EU,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0070,安装条件,iRobot_IROB-CDV-EU-2028_安装条件卡,SKU安装条件卡,SKU,SKU-IROB-CDV-EU,iRobot,地面清洁设备,EU,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
CHK0071,电压/频率/插头兼容,iRobot_IROB-WFW-UK-2029_SKU兼容安装卡,SKU兼容安装卡,SKU,SKU-IROB-WFW-UK,iRobot,地面清洁设备,UK,官方说明书/规格表/工程手册,商品运营+技术支持,xlsx/json,"sku_id,model,target_region,voltage,frequency,plug,certification_mark",极高,待收集,周更,上线前必须替换为官方或内部真实文档,synthetic_backlog
CHK0072,安装条件,iRobot_IROB-WFW-UK-2029_安装条件卡,SKU安装条件卡,SKU,SKU-IROB-WFW-UK,iRobot,地面清洁设备,UK,安装手册/工程安装清单,技术支持,xlsx/json,"sku_id,dimensions,clearance,power_requirements,water_drain,installer_qualification",高,待收集,周更,尺寸、电气或安装责任字段缺失时不得下结论,synthetic_backlog
